Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
0,290665.22,221983.1,112047.5,55077.715,43881.65
1,291526.12,222664.69,112064.34,55092.652,43883.25
2,291449.25,222798.64,112081.38,55054.89,43889.832
3,291496.28,222870.12,112055.45,55059.543,43896.656
4,291460.94,222946.95,112095.42,55006.125,43159.562
5,291348.56,222985.56,112091.41,54982.395,43468.914
6,291351.03,222788.42,112065.32,55705.24,43471.668
7,291277.06,222824.45,112057.57,55685.184,43501.098
8,290508.72,222940.08,112834.91,55649.99,43784.863
9,290533.0,222931.39,112843.914,56433.31,43794.96
10,290396.44,222954.28,112824.97,56420.453,43788.94
11,290457.38,222935.31,112823.016,56413.816,43787.082
12,290409.5,223008.78,112844.65,56409.188,43805.61
13,290464.66,222946.25,112854.555,56420.2,43822.523
14,290480.28,222956.31,113634.16,56400.57,43837.484
15,290450.7,222741.48,113643.76,56397.477,43846.062
16,289738.72,222960.58,113652.0,56391.527,47207.473
17,289739.75,222897.98,113644.79,56378.516,43841.707
18,289808.06,222692.06,113629.445,56372.34,43838.703
19,289754.5,222964.1,113629.83,56364.594,43237.906
20,289612.47,222742.67,113645.65,56351.676,43834.066
21,289733.12,222635.08,113623.85,56336.79,43837.887
22,289699.0,222816.9,113656.35,56314.387,43212.863
23,290456.06,222524.38,112905.91,57082.06,43995.32
24,290382.66,221765.14,112934.32,57083.836,44016.754
25,289585.16,221027.97,113737.41,57084.31,44036.152
26,288942.8,220804.47,113770.24,57073.77,44065.863
27,288899.78,221692.03,113797.95,57088.08,44077.605
28,288886.34,221685.23,113080.734,57070.29,44095.61
29,289683.66,221537.33,113123.33,57064.848,43354.79
30,289753.47,221728.3,113130.41,57824.043,43362.59
31,289710.53,221712.14,113120.81,57043.273,43355.63
32,289691.88,222339.23,113195.17,57026.023,43372.0
33,289709.28,223171.36,113241.17,57787.195,43401.117
34,289770.47,223142.38,113249.59,57782.195,43419.77
35,289850.8,222838.69,113233.06,56990.594,43412.598
36,289098.62,223060.14,113261.46,56979.992,43435.684
37,289076.25,222859.23,113258.734,56983.0,43442.395
38,289051.06,222793.02,113264.16,56954.953,43414.004
39,289008.1,222961.05,113261.96,57728.98,43424.188
40,288897.4,222644.95,113217.6,57699.59,43377.234
41,289518.9,223269.92,113175.71,58474.824,43354.13
42,289415.6,224223.34,113147.125,58481.105,44088.758
43,291820.3,223858.1,113097.78,58500.652,44049.234
44,288639.3,222761.53,112953.73,57548.65,43197.816
45,289670.75,222288.3,113112.72,57756.688,43348.02
46,288864.06,222893.05,113111.52,57730.336,43360.668
47,288928.97,222868.92,113099.82,57724.9,43370.367
48,288992.44,222946.77,113116.83,57681.832,43364.492
49,288945.38,222912.14,113137.17,56918.98,43372.473
50,288888.8,222817.08,113133.29,56923.406,43369.797
51,288837.97,222752.48,113142.57,56901.55,43363.418
52,288954.9,222670.17,113130.72,56906.684,43372.246
53,288834.8,223380.77,113114.375,57648.97,43361.44
54,288810.47,223449.69,113126.02,57672.703,43371.86
55,289438.84,223251.61,113084.53,57641.68,43342.703
56,289415.28,223360.84,113040.82,57647.523,43313.72
57,289523.16,223256.36,113043.99,57634.746,43302.418
58,290329.75,223829.81,112991.38,58393.86,43257.562
59,291854.8,223989.02,112977.66,58411.2,43992.74
60,291864.12,223780.36,112897.87,57642.75,43978.41
61,291922.22,223750.88,113633.38,56881.996,43937.78
62,291997.94,222908.48,113592.89,56910.805,43892.445
63,291922.8,222901.58,113580.57,56960.656,43872.51
64,291989.1,222781.72,113602.6,56958.664,44635.996
65,291983.72,222900.97,113608.17,56204.047,44636.18
66,292012.6,223517.22,113600.89,56231.754,44619.402
67,292855.53,223477.38,113672.55,56262.53,44600.215
68,290348.62,224154.75,112972.234,58254.293,43889.746
69,290520.12,223232.94,113075.336,57696.65,43312.305
70,290410.66,224072.17,113015.234,57674.1,43304.453
71,290483.78,224172.06,112993.34,56871.785,43298.176
72,290451.84,223852.56,113002.39,56858.766,43275.945
73,290425.22,224029.0,112944.04,57663.26,43247.86
74,292013.72,223826.0,112894.99,57663.816,43216.965
75,291936.9,223695.72,113618.25,56911.652,43942.19
76,292014.0,223875.53,113604.445,56933.41,43912.023
77,291916.78,222990.69,113572.125,56944.406,43869.125
78,291791.1,222815.33,113525.43,56958.832,44615.06
79,291896.78,222895.88,113492.06,56206.547,44589.504
80,290885.28,223456.33,113516.836,57511.15,43063.13
81,290514.3,222732.5,113712.48,57738.156,43262.977
82,290511.8,222887.84,113735.82,57725.11,43265.953
83,290473.38,222751.75,113772.68,57689.15,43286.03
84,289746.94,223501.66,113782.39,57652.945,43312.543
85,289614.94,223603.58,113766.47,57623.31,43304.34
86,290314.7,223308.8,112986.06,57642.11,43294.84
87,290284.7,223304.86,112943.56,56878.453,43340.742
88,291054.75,224245.14,112909.766,56874.746,43307.246
89,292106.12,224003.55,112981.22,57758.4,43292.824
90,292986.16,224695.2,113334.484,58098.383,43494.17
91,294348.62,225408.55,114684.66,57769.617,44621.035
92,295678.03,226912.61,114243.56,56045.363,47537.723
93,297413.94,227402.67,114642.125,56308.848,47945.633
94,297803.75,227668.83,115704.48,56389.652,48108.74
95,297709.28,226793.45,115664.65,56318.41,48970.246
96,297114.8,227218.08,115385.62,56141.39,48677.65
97,296086.28,226573.77,115824.32,55877.523,48126.2
98,294080.53,226882.89,115312.734,55575.387,46691.926
99,292953.1,225430.31,114785.02,56100.934,46149.387
100,292069.34,224639.12,114397.03,55836.445,45684.355
101,291558.38,223801.73,114087.695,55648.688,45415.23
102,291570.8,223481.52,114007.26,55589.996,45334.418
103,291453.72,223479.45,114004.03,56372.74,44782.44
104,291400.34,223692.42,113999.336,55580.938,44788.4
105,290712.9,223653.4,113235.95,56367.78,44795.86
106,290622.75,223582.03,113242.016,57163.863,44795.992
107,290578.97,223557.28,113268.23,57187.96,44810.316
108,290518.28,222657.9,113323.13,57201.516,44824.266
109,290559.25,222803.31,113353.24,57235.32,44800.062
110,291295.34,222051.86,113443.305,57220.8,44783.82
111,291204.28,221974.11,113524.57,57225.555,44803.83
112,291130.34,221996.8,113617.31,57242.613,44781.258
