Index: 589 | Bright Bodies: 20

Size: 32 | Area: 2301949.2 | Centroid: (40.090508 , 31.449812)
Size: 27 | Area: 1583589.0 | Centroid: (14.379448 , 42.3275)
Size: 16 | Area: 754107.6 | Centroid: (0.3216227 , 7.9693036)
Size: 8 | Area: 221102.52 | Centroid: (15.324374 , 48.89263)
Size: 14 | Area: 194773.62 | Centroid: (9.365306 , 36.723835)
Size: 8 | Area: 70285.664 | Centroid: (23.040148 , 13.160747)
Size: 4 | Area: 51819.18 | Centroid: (28.243979 , 25.378685)
Size: 4 | Area: 42384.88 | Centroid: (12.221528 , 16.38479)
Size: 6 | Area: 40333.465 | Centroid: (2.9215534 , 35.357094)
Size: 6 | Area: 37080.81 | Centroid: (41.12151 , 38.436714)
Size: 4 | Area: 22903.271 | Centroid: (26.517302 , 35.273174)
Size: 4 | Area: 16046.037 | Centroid: (44.497456 , 21.590359)
Size: 2 | Area: 9076.882 | Centroid: (31.0 , 28.630636)
Size: 2 | Area: 9023.371 | Centroid: (21.0 , 45.42389)
Size: 2 | Area: 6983.791 | Centroid: (48.000004 , 42.557636)
Size: 1 | Area: 6623.4473 | Centroid: (6.0 , 49.0)
Size: 1 | Area: 4713.2007 | Centroid: (43.0 , 9.0)
Size: 1 | Area: 3317.3613 | Centroid: (30.000002 , 12.0)
Size: 1 | Area: 2791.403 | Centroid: (0.0 , 14.000001)
Size: 1 | Area: 2752.7756 | Centroid: (14.0 , 0.0)
